"","state","crime","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Andhra Pradesh","RAPE",871,1002,946,1016,935,1049,1070,1257,1188,1362,1442,1341,1635,1548,1603,1658,1713,1768
"2","Arunachal Pradesh","RAPE",33,38,31,42,35,37,48,42,59,47,42,46,75,60,62,64,66,69
"3","Assam","RAPE",817,970,1095,1171,1238,1244,1437,1438,1631,1721,1700,1716,1937,1990,2075,2160,2245,2330
"4","Bihar","RAPE",888,1040,985,1390,1147,1232,1555,1302,929,795,934,927,1128,1039,1031,1023,1015,1007
"5","Chhattisgarh","RAPE",959,992,898,969,990,995,982,978,976,1012,1053,1034,1380,1149,1168,1187,1206,1225
"6","Goa","RAPE",12,12,31,37,20,21,20,30,47,36,29,55,86,61,65,69,73,77
"7","Gujarat","RAPE",286,267,236,339,324,354,316,374,433,408,439,473,732,574,601,629,656,683
"8","Haryana","RAPE",398,361,353,386,461,608,488,631,603,720,733,668,971,868,911,954,996,1039
"9","Himachal Pradesh","RAPE",124,137,126,153,141,113,159,157,183,160,168,183,250,208,215,222,230,237
"10","Jammu & Kashmir","RAPE",169,192,211,218,201,250,288,219,237,245,277,303,378,330,342,354,366,378
"11","Jharkhand","RAPE",567,797,712,797,753,799,855,791,719,773,784,812,1204,952,975,997,1019,1041
"12","Karnataka","RAPE",293,292,321,291,343,400,436,446,509,586,636,621,1030,808,855,902,949,996
"13","Kerala","RAPE",562,499,394,480,478,601,512,568,568,634,1132,1019,1221,1056,1111,1167,1223,1278
"14","Madhya Pradesh","RAPE",2851,2891,2738,2875,2921,2900,3010,2937,2998,3135,3406,3425,4335,3695,3778,3862,3945,4029
"15","Maharashtra","RAPE",1302,1352,1268,1388,1545,1500,1451,1558,1483,1599,1701,1839,3063,2208,2292,2376,2460,2544
"16","Manipur","RAPE",20,14,18,31,25,40,20,38,31,34,53,63,72,63,67,71,75,79
"17","Meghalaya","RAPE",26,38,40,54,63,74,82,88,112,149,130,164,183,182,195,208,221,233
"18","Mizoram","RAPE",52,76,54,20,37,72,83,77,83,92,77,103,89,100,104,108,112,116
"19","Nagaland","RAPE",17,17,14,18,17,23,13,19,22,16,23,21,31,25,25,26,27,28
"20","Odisha","RAPE",790,691,725,770,799,985,939,1113,1023,1025,1112,1458,1832,1519,1591,1662,1733,1804
"21","Punjab","RAPE",298,299,380,390,398,442,519,517,511,546,479,680,888,742,779,815,851,888
"22","Rajasthan","RAPE",1049,1051,1050,1038,993,1085,1238,1355,1519,1571,1800,2049,3285,2404,2537,2671,2805,2938
"23","Sikkim","RAPE",8,6,10,3,18,20,24,20,18,18,16,34,43,34,37,39,41,44
"24","Tamil Nadu","RAPE",423,534,557,618,571,457,523,573,596,686,677,737,923,793,820,846,873,900
"25","Tripura","RAPE",102,108,114,160,162,189,157,204,190,238,205,229,233,255,267,278,289,301
"26","Uttar Pradesh","RAPE",1958,1415,911,1397,1217,1314,1648,1871,1759,1563,2042,1963,3050,2314,2402,2490,2577,2665
"27","Uttarakhand","RAPE",74,89,107,115,133,147,117,87,111,121,129,148,228,170,177,184,191,197
"28","West Bengal","RAPE",709,759,1002,1475,1686,1731,2106,2263,2336,2311,2363,2046,1685,2578,2699,2820,2942,3063
"29","A&N Islands","RAPE",3,2,2,10,4,6,3,12,18,24,13,12,27,23,24,26,28,29
"30","Chandigarh","RAPE",18,18,18,19,33,19,22,20,29,31,27,27,45,36,37,39,40,42
"31","D&N Haveli","RAPE",6,4,1,7,5,6,7,6,4,3,4,3,5,4,4,4,4,4
"32","Daman & Diu","RAPE",0,0,5,1,2,3,1,0,1,1,1,5,8,4,4,5,5,5
"33","Delhi UT","RAPE",381,403,490,551,658,623,598,466,469,507,572,706,1636,955,1003,1051,1098,1146
"34","Lakshadweep","RAPE",0,1,2,0,0,0,1,2,1,0,0,0,2,1,1,1,1,1
"35","Puducherry","RAPE",9,6,2,4,6,9,9,8,1,3,7,13,17,11,11,12,12,13
"36","All India","RAPE",16075,16373,15847,18233,18359,19348,20737,21467,21397,22172,24206,24923,33707,28757,29867,30977,32086,33196
"37","Andhra Pradesh","KIDNAPPING & ABDUCTION",765,854,931,1030,995,1329,1564,1396,1526,1531,1612,1403,1595,1775,1847,1918,1990,2062
"38","Arunachal Pradesh","KIDNAPPING & ABDUCTION",55,38,51,41,39,51,44,47,28,46,60,58,86,61,63,65,67,68
"39","Assam","KIDNAPPING & ABDUCTION",1070,1276,1351,1552,1456,1544,1471,1789,2092,2767,3192,3360,4222,3698,3928,4158,4388,4618
"40","Bihar","KIDNAPPING & ABDUCTION",518,744,674,997,929,1084,1260,1789,1986,2569,3050,3789,4419,3973,4278,4584,4890,5196
"41","Chhattisgarh","KIDNAPPING & ABDUCTION",171,154,149,174,184,178,181,216,229,279,365,350,1881,830,899,967,1036,1105
"42","Goa","KIDNAPPING & ABDUCTION",6,5,13,10,12,10,7,28,22,18,17,16,70,38,41,44,46,49
"43","Gujarat","KIDNAPPING & ABDUCTION",857,807,859,905,916,945,1089,1119,1162,1290,1442,1527,2230,1780,1868,1956,2044,2132
"44","Haryana","KIDNAPPING & ABDUCTION",297,290,271,292,344,431,554,644,659,714,733,900,1957,1275,1368,1461,1554,1647
"45","Himachal Pradesh","KIDNAPPING & ABDUCTION",105,116,96,99,102,109,150,137,122,162,191,152,290,215,226,236,247,257
"46","Jammu & Kashmir","KIDNAPPING & ABDUCTION",504,596,615,632,658,723,707,656,825,840,1023,1041,949,1037,1078,1118,1159,1200
"47","Jharkhand","KIDNAPPING & ABDUCTION",279,178,262,178,283,410,534,499,517,696,660,786,926,886,945,1003,1061,1120
"48","Karnataka","KIDNAPPING & ABDUCTION",271,300,244,286,312,328,390,405,408,586,715,1070,1359,1030,1104,1178,1251,1325
"49","Kerala","KIDNAPPING & ABDUCTION",97,91,102,142,129,202,177,166,173,184,221,214,185,229,239,249,259,269
"50","Madhya Pradesh","KIDNAPPING & ABDUCTION",668,639,608,584,604,617,701,736,841,1030,1088,1127,2873,1683,1790,1897,2005,2112
"51","Maharashtra","KIDNAPPING & ABDUCTION",611,650,626,787,851,921,967,998,926,1124,1252,1140,1874,1509,1584,1660,1736,1811
"52","Manipur","KIDNAPPING & ABDUCTION",62,82,71,71,69,79,83,87,97,107,116,133,125,129,134,140,145,150
"53","Meghalaya","KIDNAPPING & ABDUCTION",11,10,10,18,19,25,22,25,26,37,37,24,33,38,40,42,44,46
"54","Mizoram","KIDNAPPING & ABDUCTION",1,2,2,0,0,1,0,1,0,0,0,3,2,1,1,1,1,1
"55","Nagaland","KIDNAPPING & ABDUCTION",6,4,3,4,9,3,6,7,10,6,3,10,11,9,9,10,10,11
"56","Odisha","KIDNAPPING & ABDUCTION",434,432,373,423,547,577,660,762,799,912,1008,1364,2067,1533,1639,1744,1849,1954
"57","Punjab","KIDNAPPING & ABDUCTION",324,354,295,311,329,418,545,514,513,576,517,689,987,790,833,876,919,962
"58","Rajasthan","KIDNAPPING & ABDUCTION",2165,2019,1750,1881,1549,1553,1694,1863,2310,2477,2713,2697,4047,3061,3183,3305,3426,3548
"59","Sikkim","KIDNAPPING & ABDUCTION",2,2,0,4,2,7,9,4,6,6,10,10,16,13,14,15,16,17
"60","Tamil Nadu","KIDNAPPING & ABDUCTION",607,714,632,692,783,718,1097,1160,1133,1464,1743,1693,1516,1775,1875,1976,2076,2176
"61","Tripura","KIDNAPPING & ABDUCTION",35,48,29,54,43,62,81,110,92,91,116,114,124,133,141,149,158,166
"62","Uttar Pradesh","KIDNAPPING & ABDUCTION",2879,2298,1499,2324,2256,2551,3363,4439,5078,5468,7525,7910,9737,8651,9257,9863,10469,11075
"63","Uttarakhand","KIDNAPPING & ABDUCTION",126,155,134,127,125,183,227,222,247,249,283,256,633,413,439,465,492,518
"64","West Bengal","KIDNAPPING & ABDUCTION",695,694,801,1018,1039,1199,1590,1907,2187,2764,3711,4168,3830,4126,4434,4742,5050,5358
"65","A&N Islands","KIDNAPPING & ABDUCTION",2,1,2,3,1,5,9,13,14,8,12,7,12,14,15,16,17,18
"66","Chandigarh","KIDNAPPING & ABDUCTION",50,47,28,43,45,57,46,42,36,28,46,66,174,86,91,96,100,105
"67","D&N Haveli","KIDNAPPING & ABDUCTION",2,5,4,7,9,14,6,11,9,10,8,9,11,12,12,13,13,14
"68","Daman & Diu","KIDNAPPING & ABDUCTION",3,2,1,0,2,1,1,1,0,2,2,0,6,2,2,2,2,2
"69","Delhi UT","KIDNAPPING & ABDUCTION",964,893,797,881,1106,1066,1167,1136,1655,1740,2085,2160,3609,2678,2849,3019,3190,3361
"70","Lakshadweep","KIDNAPPING & ABDUCTION",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"71","Puducherry","KIDNAPPING & ABDUCTION",3,6,13,8,3,13,14,9,13,14,9,16,25,19,20,21,22,23
"72","ALL INDIA K&A","KIDNAPPING & ABDUCTION",14645,14506,13296,15578,15750,17414,20416,22939,25741,29795,35565,38262,51881,43500,46244,48988,51733,54477
"73","Andhra Pradesh","DOWRY DEATH",420,449,466,512,443,519,613,556,546,588,599,504,492,582,591,600,610,619
"74","Arunachal Pradesh","DOWRY DEATH",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"75","Assam","DOWRY DEATH",59,70,60,74,99,105,100,103,170,175,121,140,170,177,186,195,205,214
"76","Bihar","DOWRY DEATH",859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275,1182,1401,1439,1477,1516,1554
"77","Chhattisgarh","DOWRY DEATH",70,85,79,71,100,103,100,106,128,115,104,81,109,116,118,121,124,127
"78","Goa","DOWRY DEATH",2,2,2,2,2,0,2,2,3,1,1,0,0,0,0,0,0,0
"79","Gujarat","DOWRY DEATH",67,62,54,58,48,50,42,27,24,19,30,21,29,13,9,5,1,-2
"80","Haryana","DOWRY DEATH",285,256,222,251,212,255,269,302,281,284,255,258,263,272,274,276,277,279
"81","Himachal Pradesh","DOWRY DEATH",10,6,6,8,2,3,8,3,1,2,4,2,0,0,-1,-1,-2,-2
"82","Jammu & Kashmir","DOWRY DEATH",13,18,10,9,5,10,9,21,12,9,11,8,7,9,8,8,8,7
"83","Jharkhand","DOWRY DEATH",217,275,262,275,257,281,303,266,295,276,282,302,307,308,313,317,322,326
"84","Karnataka","DOWRY DEATH",220,233,194,259,261,244,251,259,264,248,267,218,277,267,270,273,276,279
"85","Kerala","DOWRY DEATH",27,17,33,31,21,25,27,31,20,22,15,32,21,23,22,22,22,21
"86","Madhya Pradesh","DOWRY DEATH",609,674,648,751,739,764,742,805,858,892,811,743,776,859,873,888,903,918
"87","Maharashtra","DOWRY DEATH",308,303,368,314,341,387,436,390,341,393,339,329,320,364,366,368,369,371
"88","Manipur","DOWRY DEATH",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"89","Meghalaya","DOWRY DEATH",0,0,0,2,1,6,2,2,0,0,1,1,2,2,2,2,2,2
"90","Mizoram","DOWRY DEATH",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Nagaland","DOWRY DEATH",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"92","Odisha","DOWRY DEATH",294,248,279,319,334,457,461,401,384,388,465,525,395,496,512,528,545,561
"93","Punjab","DOWRY DEATH",159,166,110,113,99,130,133,128,126,121,143,118,126,120,119,117,116,115
"94","Rajasthan","DOWRY DEATH",376,399,389,379,361,394,439,439,436,462,514,478,453,494,504,514,523,533
"95","Sikkim","DOWRY DEATH",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
"96","Tamil Nadu","DOWRY DEATH",191,243,220,225,215,187,208,207,194,165,152,110,118,127,118,109,101,92
"97","Tripura","DOWRY DEATH",16,16,20,20,34,35,36,16,29,25,30,37,29,34,36,37,38,39
"98","Uttar Pradesh","DOWRY DEATH",2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244,2335,2389,2443,2497,2551,2605
"99","Uttarakhand","DOWRY DEATH",56,66,93,82,63,80,70,73,94,75,83,71,43,71,70,70,70,69
"100","West Bengal","DOWRY DEATH",265,273,329,396,446,445,451,451,506,507,510,593,481,592,614,637,659,681
"101","A&N Islands","DOWRY DEATH",0,0,0,0,0,0,1,2,1,0,0,2,1,1,1,2,2,2
"102","Chandigarh","DOWRY DEATH",3,1,1,6,3,10,1,3,2,5,2,5,1,3,3,3,3,3
"103","D&N Haveli","DOWRY DEATH",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"104","Daman & Diu","DOWRY DEATH",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"105","Delhi UT","DOWRY DEATH",113,135,130,126,114,137,138,129,141,143,142,134,144,145,147,149,151,152
"106","Lakshadweep","DOWRY DEATH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Puducherry","DOWRY DEATH",1,5,1,6,4,3,2,2,0,1,1,0,1,0,0,0,-1,-1
"108","ALL INDIA ","DOWRY DEATH",6851,6822,6208,7026,6787,7618,8093,8172,8383,8391,8618,8233,8083,8865,9041,9216,9392,9567
"109","Andhra Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",3544,3799,4128,3817,3595,4534,4406,4730,5147,4634,4849,4816,6930,5842,6029,6216,6403,6590
"110","Arunachal Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",78,68,43,61,67,63,72,72,58,84,51,67,93,74,75,76,77,78
"111","Assam","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",850,984,878,883,899,1290,789,1272,1342,1400,1193,1840,2409,1899,1994,2089,2184,2279
"112","Bihar","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",562,621,688,704,451,530,853,999,726,534,790,118,331,493,477,461,444,428
"113","Chhattisgarh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1763,1483,1481,1661,1450,1598,1549,1621,1598,1706,1654,1601,2261,1830,1856,1882,1908,1934
"114","Goa","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",17,18,19,23,30,18,20,32,37,36,29,49,162,81,87,94,100,106
"115","Gujarat","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",756,750,722,757,802,736,822,828,727,668,685,745,1243,881,894,908,921,934
"116","Haryana","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",478,454,344,403,380,486,417,435,451,476,474,525,1560,825,867,909,951,993
"117","Himachal Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",310,326,250,284,286,275,322,295,318,350,331,250,493,366,373,380,387,395
"118","Jammu & Kashmir","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",622,785,875,990,830,960,986,935,972,1038,1194,1322,1389,1337,1386,1436,1485,1534
"119","Jharkhand","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",297,411,424,411,293,414,342,271,276,245,317,284,524,332,330,328,326,324
"120","Karnataka","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1665,1648,1585,1435,1585,1683,1828,1954,2186,2544,2608,2978,3913,3241,3400,3560,3719,3879
"121","Kerala","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1942,2123,1947,2260,2339,2543,2624,2745,2540,2936,3756,3735,4362,4006,4184,4362,4541,4719
"122","Madhya Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",7063,7118,6848,6690,6426,6243,6772,6445,6307,6646,6665,6655,8252,6930,6951,6973,6995,7016
"123","Maharashtra","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2823,2686,2661,2831,3228,3479,3306,3619,3196,3661,3794,3935,8132,5381,5629,5877,6126,6374
"124","Manipur","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",21,58,44,30,25,42,70,57,39,31,38,49,59,51,52,53,55,56
"125","Meghalaya","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",25,23,13,34,44,57,45,54,72,48,74,43,98,82,87,92,97,101
"126","Mizoram","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",52,73,88,66,49,51,66,78,61,75,72,85,81,79,80,81,83,84
"127","Nagaland","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",6,1,4,3,7,3,8,15,11,13,9,16,18,17,18,19,21,22
"128","Odisha","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1655,1605,1669,1811,2238,2415,2775,2782,2697,2905,3207,4187,4618,4251,4479,4706,4934,5161
"129","Punjab","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",372,341,346,261,308,314,427,388,319,349,282,340,1045,551,574,596,619,642
"130","Rajasthan","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2878,2730,2715,2825,2503,2582,2477,2520,2485,2339,2447,2352,4829,3021,3061,3100,3140,3179
"131","Sikkim","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,17,25,40,38,14,13,19,10,11,24,19,29,22,22,22,22,22
"132","Tamil Nadu","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1773,1877,2022,1861,1764,1179,1540,1705,1242,1405,1467,1494,1271,1237,1188,1138,1088,1039
"133","Tripura","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",58,128,127,134,161,207,244,346,384,376,294,314,407,437,465,492,520,547
"134","Uttar Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2870,2145,1098,1900,1835,2096,2522,2955,2782,2793,3455,3247,7303,4653,4911,5169,5427,5685
"135","Uttarakhand","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",103,145,136,143,100,153,146,120,119,125,116,139,295,180,185,191,196,202
"136","West Bengal","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",954,964,1186,1566,1572,1837,2281,2396,1942,2465,2363,3345,4913,3844,4087,4331,4575,4819
"137","A&N Islands","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",19,17,9,6,11,14,21,24,30,31,15,17,45,32,33,35,37,38
"138","Chandigarh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",24,36,11,20,31,20,32,19,26,29,21,45,143,66,71,75,80,84
"139","D&N Haveli","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",7,3,4,5,5,5,0,4,2,11,2,2,1,2,2,2,2,2
"140","Daman & Diu","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,0,3,1,1,2,0,2,4,2,0,0,2,2,2,2,2,2
"141","Delhi UT","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",502,446,489,601,762,718,868,611,552,601,657,727,3515,1605,1713,1821,1928,2036
"142","Lakshadweep","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,1,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
"143","Puducherry","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",35,59,56,50,60,56,89,65,53,46,35,9,12,29,27,24,21,19
"144","All India","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",34124,33943,32939,34567,34175,36617,38734,40413,38711,40613,42968,45351,70739,53678,55590,57501,59412,61324
"145","Andhra Pradesh","INSULT TO THE MODESTY OF WOMEN",2271,2024,2286,2310,2508,2411,3316,3551,3520,4562,3658,3714,4702,4620,4831,5042,5253,5465
"146","Arunachal Pradesh","INSULT TO THE MODESTY OF WOMEN",3,2,0,0,0,2,1,1,6,1,0,2,3,2,2,2,2,2
"147","Assam","INSULT TO THE MODESTY OF WOMEN",4,7,6,11,19,10,10,2,10,20,8,5,14,12,12,13,13,13
"148","Bihar","INSULT TO THE MODESTY OF WOMEN",21,6,11,13,13,53,12,21,12,16,11,37,52,34,35,37,39,40
"149","Chhattisgarh","INSULT TO THE MODESTY OF WOMEN",161,147,105,131,132,143,111,125,152,182,174,162,180,171,175,178,182,185
"150","Goa","INSULT TO THE MODESTY OF WOMEN",7,6,7,15,8,7,7,12,10,16,12,16,54,28,30,32,34,36
"151","Gujarat","INSULT TO THE MODESTY OF WOMEN",111,104,92,164,104,138,120,122,114,110,93,93,77,95,93,91,88,86
"152","Haryana","INSULT TO THE MODESTY OF WOMEN",401,1424,1302,850,597,491,409,605,605,580,490,434,643,394,353,312,271,230
"153","Himachal Pradesh","INSULT TO THE MODESTY OF WOMEN",14,12,18,16,29,31,33,41,37,78,62,68,111,90,97,104,111,118
"154","Jammu & Kashmir","INSULT TO THE MODESTY OF WOMEN",288,368,376,264,371,347,353,296,371,262,350,347,354,339,340,341,342,342
"155","Jharkhand","INSULT TO THE MODESTY OF WOMEN",5,3,2,3,36,44,15,23,83,16,7,10,18,30,31,33,34,35
"156","Karnataka","INSULT TO THE MODESTY OF WOMEN",81,100,84,57,71,38,28,44,64,83,81,100,137,90,92,94,96,98
"157","Kerala","INSULT TO THE MODESTY OF WOMEN",81,102,68,133,175,222,262,258,395,537,573,498,404,579,620,662,704,746
"158","Madhya Pradesh","INSULT TO THE MODESTY OF WOMEN",751,783,705,804,792,762,780,758,728,918,762,774,736,785,787,788,790,792
"159","Maharashtra","INSULT TO THE MODESTY OF WOMEN",1120,769,682,862,919,984,1039,1091,1099,1180,1071,1294,2632,1698,1779,1860,1940,2021
"160","Manipur","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,1,1
"161","Meghalaya","INSULT TO THE MODESTY OF WOMEN",0,0,1,0,0,0,1,4,1,0,1,0,0,1,1,1,1,1
"162","Mizoram","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0
"163","Nagaland","INSULT TO THE MODESTY OF WOMEN",0,0,2,1,0,2,1,1,0,3,0,0,1,1,1,1,1,1
"164","Odisha","INSULT TO THE MODESTY OF WOMEN",458,188,188,170,184,247,241,282,210,232,235,304,426,291,296,301,305,310
"165","Punjab","INSULT TO THE MODESTY OF WOMEN",47,145,199,38,43,60,48,49,33,38,31,31,67,19,13,7,0,-6
"166","Rajasthan","INSULT TO THE MODESTY OF WOMEN",56,44,33,41,28,31,28,19,24,23,9,18,25,10,8,5,2,0
