"","state","crime","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"167","Sikkim","INSULT TO THE MODESTY OF WOMEN",14,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-3,-4,-4
"168","Tamil Nadu","INSULT TO THE MODESTY OF WOMEN",1012,1718,881,1081,665,852,875,974,501,638,464,382,313,255,178,101,23,-54
"169","Tripura","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,1,0,4,4,5,9,9,7,7,9,10,11,12,13
"170","Uttar Pradesh","INSULT TO THE MODESTY OF WOMEN",2575,1887,4970,2682,2881,2714,2882,3374,2524,11,3,8,25,17,-272,-561,-851,-1140
"171","Uttarakhand","INSULT TO THE MODESTY OF WOMEN",84,97,98,110,89,113,63,306,249,165,72,73,72,137,139,141,143,145
"172","West Bengal","INSULT TO THE MODESTY OF WOMEN",48,34,71,64,54,63,99,94,108,163,200,556,577,423,460,497,534,571
"173","A&N Islands","INSULT TO THE MODESTY OF WOMEN",1,3,2,3,1,4,2,3,7,10,3,4,8,7,8,8,8,9
"174","Chandigarh","INSULT TO THE MODESTY OF WOMEN",15,28,4,18,9,13,11,2,2,4,12,25,26,14,14,14,14,14
"175","D&N Haveli","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,1,0,0,1,2,0,0,1,1,1,1,1,1
"176","Daman & Diu","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"177","Delhi UT","INSULT TO THE MODESTY OF WOMEN",90,128,105,130,225,144,167,130,118,80,162,208,916,400,429,458,486,515
"178","Lakshadweep","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Puducherry","INSULT TO THE MODESTY OF WOMEN",27,26,27,30,26,39,32,21,16,22,16,2,8,9,8,6,4,2
"180","All India","INSULT TO THE MODESTY OF WOMEN",9746,10155,12325,10001,9984,9966,10950,12214,11009,9961,8570,9173,12589,10561,10568,10576,10583,10590
"181","Andhra Pradesh","CRUELTY BY HUSBAND OR RELATIVES",5791,7018,8167,8388,8696,9164,11335,10306,11297,12080,13376,13389,15084,15156,15847,16539,17231,17922
"182","Arunachal Pradesh","CRUELTY BY HUSBAND OR RELATIVES",11,13,14,4,9,14,20,13,13,12,18,26,29,24,25,26,27,28
"183","Assam","CRUELTY BY HUSBAND OR RELATIVES",1248,1694,1808,1945,2206,2548,3000,3478,4398,5410,5246,6407,8636,7439,7973,8508,9043,9578
"184","Bihar","CRUELTY BY HUSBAND OR RELATIVES",1558,1577,1880,2679,1574,1689,1635,1992,2532,2271,2607,3686,4533,3566,3744,3921,4099,4276
"185","Chhattisgarh","CRUELTY BY HUSBAND OR RELATIVES",840,653,601,741,732,717,824,897,893,861,834,980,1181,1038,1068,1098,1128,1158
"186","Goa","CRUELTY BY HUSBAND OR RELATIVES",11,8,24,17,11,14,14,12,21,17,18,24,40,27,29,30,31,33
"187","Gujarat","CRUELTY BY HUSBAND OR RELATIVES",3667,3321,3684,3955,4090,4977,5827,6094,5506,5600,6052,6658,7812,7477,7806,8135,8464,8794
"188","Haryana","CRUELTY BY HUSBAND OR RELATIVES",1513,1565,1618,2026,2075,2254,2412,2435,2617,2720,2740,3137,3617,3453,3609,3764,3920,4075
"189","Himachal Pradesh","CRUELTY BY HUSBAND OR RELATIVES",317,234,221,252,228,259,342,343,284,275,239,251,328,294,296,299,302,304
"190","Jammu & Kashmir","CRUELTY BY HUSBAND OR RELATIVES",50,54,71,82,76,135,176,162,196,211,286,301,428,364,392,419,447,475
"191","Jharkhand","CRUELTY BY HUSBAND OR RELATIVES",484,588,559,588,590,668,801,851,710,650,659,1261,2084,1345,1421,1498,1575,1652
"192","Karnataka","CRUELTY BY HUSBAND OR RELATIVES",1755,1826,1704,1588,1883,2129,2507,2638,3185,3441,3712,3684,3276,3914,4107,4300,4493,4686
"193","Kerala","CRUELTY BY HUSBAND OR RELATIVES",2561,2836,2930,3222,3283,3708,3999,4138,4007,4797,5377,5216,4820,5524,5754,5984,6214,6444
"194","Madhya Pradesh","CRUELTY BY HUSBAND OR RELATIVES",2562,3117,2938,3436,2989,2989,3294,3185,3983,3756,3732,3988,4988,4429,4567,4706,4845,4983
"195","Maharashtra","CRUELTY BY HUSBAND OR RELATIVES",6090,5353,5452,5646,6233,6738,7356,7829,7681,7434,7136,7415,8542,8420,8646,8872,9098,9323
"196","Manipur","CRUELTY BY HUSBAND OR RELATIVES",5,10,4,2,20,10,15,28,25,18,39,43,29,39,42,45,48,51
"197","Meghalaya","CRUELTY BY HUSBAND OR RELATIVES",4,0,4,5,3,13,19,32,24,24,21,16,23,29,31,33,35,37
"198","Mizoram","CRUELTY BY HUSBAND OR RELATIVES",16,3,3,0,0,1,2,5,4,3,9,8,5,5,5,5,5,5
"199","Nagaland","CRUELTY BY HUSBAND OR RELATIVES",0,0,0,0,0,3,0,4,0,1,1,0,4,2,2,3,3,3
"200","Odisha","CRUELTY BY HUSBAND OR RELATIVES",1266,1167,1289,1192,1671,694,728,1618,2047,2067,2320,2638,2792,2612,2749,2886,3023,3160
"201","Punjab","CRUELTY BY HUSBAND OR RELATIVES",1128,944,987,801,729,801,971,984,1061,1163,1136,1293,1741,1363,1406,1450,1494,1537
"202","Rajasthan","CRUELTY BY HUSBAND OR RELATIVES",5532,5691,5733,6781,5997,7038,8170,8113,10371,11145,12218,13312,15094,14412,15205,15998,16791,17585
"203","Sikkim","CRUELTY BY HUSBAND OR RELATIVES",0,3,1,1,4,6,7,5,6,3,4,4,5,6,6,7,7,7
"204","Tamil Nadu","CRUELTY BY HUSBAND OR RELATIVES",815,1052,1555,1437,1650,1248,1976,1648,1460,1570,1812,1965,2471,2203,2290,2378,2465,2553
"205","Tripura","CRUELTY BY HUSBAND OR RELATIVES",227,236,247,302,439,471,545,735,815,937,702,858,827,1005,1068,1131,1194,1257
"206","Uttar Pradesh","CRUELTY BY HUSBAND OR RELATIVES",7365,5679,2626,4950,4505,5204,7650,8312,8566,7978,7121,7661,8781,8827,9138,9450,9761,10073
"207","Uttarakhand","CRUELTY BY HUSBAND OR RELATIVES",301,316,317,405,272,358,463,340,361,334,307,368,435,389,395,400,405,411
"208","West Bengal","CRUELTY BY HUSBAND OR RELATIVES",3859,4069,4948,6334,6936,7414,9900,13663,16112,17796,19772,19865,18116,22322,23876,25430,26984,28538
"209","A&N Islands","CRUELTY BY HUSBAND OR RELATIVES",9,4,7,5,5,7,18,26,21,9,5,5,9,12,13,13,13,14
"210","Chandigarh","CRUELTY BY HUSBAND OR RELATIVES",36,56,93,73,75,102,112,49,51,41,46,73,92,71,71,71,71,71
"211","D&N Haveli","CRUELTY BY HUSBAND OR RELATIVES",4,3,2,3,5,5,3,4,3,3,3,0,1,2,2,1,1,1
"212","Daman & Diu","CRUELTY BY HUSBAND OR RELATIVES",4,3,0,4,3,2,3,5,3,3,2,3,2,3,3,3,3,3
"213","Delhi UT","CRUELTY BY HUSBAND OR RELATIVES",138,135,1211,1254,1324,1728,1787,1387,1283,1404,1575,1985,3033,2484,2639,2793,2948,3102
"214","Lakshadweep","CRUELTY BY HUSBAND OR RELATIVES",0,0,1,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0
"215","Puducherry","CRUELTY BY HUSBAND OR RELATIVES",3,9,4,2,6,19,17,12,10,7,10,6,8,11,11,11,12,12
"216","All India","CRUELTY BY HUSBAND OR RELATIVES",49170,49237,50703,58121,58319,63128,75930,81344,89546,94041,99135,106527,118866,118266,124237,130209,136180,142151
"217","Andhra Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",1332,871,349,405,681,657,612,357,279,548,497,472,489,306,267,228,189,149
"218","Arunachal Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1
"219","Assam","IMMORAL TRAFFIC(PREVENTION)ACT",6,24,22,28,25,29,21,27,37,25,21,30,18,28,29,30,30,31
"220","Bihar","IMMORAL TRAFFIC(PREVENTION)ACT",29,10,9,24,28,13,27,39,40,24,23,35,64,45,47,50,52,55
"221","Chhattisgarh","IMMORAL TRAFFIC(PREVENTION)ACT",12,12,7,9,6,13,14,4,9,12,15,5,8,9,9,9,9,8
"222","Goa","IMMORAL TRAFFIC(PREVENTION)ACT",28,25,25,28,38,26,10,14,23,16,18,40,28,23,23,23,23,23
"223","Gujarat","IMMORAL TRAFFIC(PREVENTION)ACT",61,57,74,33,59,78,44,52,41,46,46,44,76,50,50,49,49,48
"224","Haryana","IMMORAL TRAFFIC(PREVENTION)ACT",21,32,57,62,85,85,88,77,90,57,57,69,63,81,83,86,88,90
"225","Himachal Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",1,2,5,4,4,0,0,1,5,1,2,6,4,3,4,4,4,4
"226","Jammu & Kashmir","IMMORAL TRAFFIC(PREVENTION)ACT",7,3,2,11,3,5,1,4,6,4,2,3,1,2,2,1,1,1
"227","Jharkhand","IMMORAL TRAFFIC(PREVENTION)ACT",3,3,6,3,13,11,14,8,1,13,15,12,11,14,14,15,16,17
"228","Karnataka","IMMORAL TRAFFIC(PREVENTION)ACT",1356,1388,1361,1170,1241,786,612,516,329,242,351,335,340,-9,-120,-231,-343,-454
"229","Kerala","IMMORAL TRAFFIC(PREVENTION)ACT",132,132,159,168,225,189,201,187,314,309,197,210,180,255,263,271,279,287
"230","Madhya Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",15,14,33,23,19,12,19,10,19,19,24,13,22,18,18,18,18,18
"231","Maharashtra","IMMORAL TRAFFIC(PREVENTION)ACT",233,182,179,309,222,378,322,327,271,306,390,366,289,373,384,396,408,420
"232","Manipur","IMMORAL TRAFFIC(PREVENTION)ACT",4,6,0,0,1,0,0,0,0,0,0,15,0,3,3,3,3,3
"233","Meghalaya","IMMORAL TRAFFIC(PREVENTION)ACT",0,0,1,0,1,1,1,3,1,3,2,7,4,5,5,6,6,6
"234","Mizoram","IMMORAL TRAFFIC(PREVENTION)ACT",2,0,0,5,1,0,0,1,1,0,8,0,0,2,2,2,2,2
"235","Nagaland","IMMORAL TRAFFIC(PREVENTION)ACT",1,4,1,4,4,9,4,1,3,2,2,4,1,3,3,2,2,2
"236","Odisha","IMMORAL TRAFFIC(PREVENTION)ACT",24,24,11,22,29,44,40,29,14,25,23,24,27,27,27,27,27,28
"237","Punjab","IMMORAL TRAFFIC(PREVENTION)ACT",32,38,54,32,58,67,45,43,59,59,50,86,137,94,99,104,109,114
"238","Rajasthan","IMMORAL TRAFFIC(PREVENTION)ACT",68,55,51,79,115,143,91,72,62,82,81,99,74,90,92,93,94,95
"239","Sikkim","IMMORAL TRAFFIC(PREVENTION)ACT",0,0,1,1,0,0,2,0,1,3,1,0,0,1,1,1,1,1
"240","Tamil Nadu","IMMORAL TRAFFIC(PREVENTION)ACT",5232,3530,2839,3022,2777,1732,1199,687,716,567,420,500,549,-689,-1049,-1408,-1768,-2128
"241","Tripura","IMMORAL TRAFFIC(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,1,1
"242","Uttar Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",26,42,47,44,31,70,49,57,39,23,43,31,37,39,39,38,38,38
"243","Uttarakhand","IMMORAL TRAFFIC(PREVENTION)ACT",0,0,0,4,2,3,9,3,6,4,3,12,13,11,11,12,13,14
"244","West Bengal","IMMORAL TRAFFIC(PREVENTION)ACT",31,42,152,121,74,66,62,62,63,56,96,109,104,92,94,96,98,100
"245","A&N Islands","IMMORAL TRAFFIC(PREVENTION)ACT",0,0,0,0,0,0,1,0,1,3,3,2,4,3,4,4,4,5
"246","Chandigarh","IMMORAL TRAFFIC(PREVENTION)ACT",3,3,4,9,9,3,5,7,4,3,1,0,6,3,3,3,3,2
"247","D&N Haveli","IMMORAL TRAFFIC(PREVENTION)ACT",0,0,2,0,0,0,2,3,0,1,1,2,2,2,2,2,2,2
"248","Daman & Diu","IMMORAL TRAFFIC(PREVENTION)ACT",3,3,0,1,1,1,5,6,4,6,6,3,6,6,6,7,7,8
"249","Delhi UT","IMMORAL TRAFFIC(PREVENTION)ACT",95,69,46,123,151,112,63,60,27,28,33,24,20,15,8,1,-7,-14
"250","Lakshadweep","IMMORAL TRAFFIC(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251","Puducherry","IMMORAL TRAFFIC(PREVENTION)ACT",39,27,13,4,5,8,5,3,9,11,3,4,0,-4,-6,-8,-10,-12
"252","All India","IMMORAL TRAFFIC(PREVENTION)ACT",8796,6598,5510,5748,5908,4541,3568,2660,2474,2499,2436,2563,2579,904,419,-66,-551,-1036
"253","Andhra Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",925,2403,909,1102,2657,1347,1005,889,704,753,314,21,251,108,-22,-153,-283,-414
"254","Arunachal Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255","Assam","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",10,3,0,0,0,0,0,2,0,0,1,3,1,0,-1,-1,-1,-1
"256","Bihar","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",3,1,1,0,0,0,0,0,0,0,0,5,0,1,1,1,1,1
"257","Chhattisgarh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
"258","Goa","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,1,1,1
"259","Gujarat","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,4,14,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-3,-3
"260","Haryana","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1
"261","Himachal Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262","Jammu & Kashmir","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"263","Jharkhand","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,2,2,0,0,0,6,0,0,2,2,2,2,2,2
"264","Karnataka","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,1,2,2
"265","Kerala","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",42,26,16,45,108,59,26,19,24,37,12,3,20,15,12,9,6,4
"266","Madhya Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"267","Maharashtra","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",9,4,8,11,8,9,2,1,1,0,1,2,0,-1,-2,-3,-4,-5
"268","Manipur","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269","Meghalaya","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270","Mizoram","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271","Nagaland","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272","Odisha","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,1,1,2
"273","Punjab","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,8,1,2,0,1,0,0,0,0,0,0,0,-1,-2,-2,-2,-2
"274","Rajasthan","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",46,54,87,89,109,102,131,107,106,80,102,62,68,96,97,98,99,100
"275","Sikkim","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276","Tamil Nadu","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",11,5,6,102,30,35,25,4,2,14,10,34,9,14,13,12,11,10
"277","Tripura","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"278","Uttar Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",3,0,0,0,0,0,0,0,0,1,4,0,1,1,1,1,1,1
"279","Uttarakhand","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280","West Bengal","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,1,25,1,4,10,3,2,2,2,7,4,5,4,4,4,4
"281","A&N Islands","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282","Chandigarh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"283","D&N Haveli","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284","Daman & Diu","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","Delhi UT","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"286","Lakshadweep","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"287","Puducherry","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"288","All India","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1052,2508,1043,1378,2917,1562,1200,1025,845,895,453,141,362,242,108,-27,-161,-295
"289","Andhra Pradesh","TOTAL CRIMES AGAINST WOMEN",16477,18880,18382,18921,20819,21484,24738,24111,25569,27244,28246,28171,32809,32027,33241,34456,35670,36884
"290","Arunachal Pradesh","TOTAL CRIMES AGAINST WOMEN",180,159,139,148,150,168,185,175,164,190,171,201,288,222,229,235,241,248
"291","Assam","TOTAL CRIMES AGAINST WOMEN",4243,5092,5312,5700,6027,6801,6844,8122,9721,11555,11503,13544,17449,15245,16193,17141,18089,19037
"292","Bihar","TOTAL CRIMES AGAINST WOMEN",5356,5743,5900,8091,6019,6740,7548,8662,8803,8471,10231,11229,13609,12143,12708,13273,13839,14404
"293","Chhattisgarh","TOTAL CRIMES AGAINST WOMEN",3989,3538,3336,3763,3599,3757,3775,3962,4002,4176,4219,4228,7012,5157,5307,5458,5608,5759
"294","Goa","TOTAL CRIMES AGAINST WOMEN",83,76,121,132,121,96,80,130,164,140,127,200,440,260,276,292,308,324
"295","Gujarat","TOTAL CRIMES AGAINST WOMEN",5805,5373,5735,6211,6343,7279,8260,8616,8009,8148,8815,9561,12283,10903,11357,11811,12265,12719
"296","Haryana","TOTAL CRIMES AGAINST WOMEN",3393,4385,4170,4276,4161,4617,4645,5142,5312,5562,5491,6002,9089,7182,7480,7777,8075,8373
"297","Himachal Pradesh","TOTAL CRIMES AGAINST WOMEN",890,838,729,823,793,792,1018,979,954,1028,997,912,1478,1175,1209,1242,1276,1309
"298","Jammu & Kashmir","TOTAL CRIMES AGAINST WOMEN",1656,2016,2164,2208,2144,2432,2521,2295,2624,2611,3146,3328,3509,3421,3551,3681,3811,3941
"299","Jharkhand","TOTAL CRIMES AGAINST WOMEN",2229,2490,2488,2490,2544,2979,3317,3183,3021,3087,3132,4536,6506,4824,5051,5279,5507,5734
"300","Karnataka","TOTAL CRIMES AGAINST WOMEN",6002,6170,5834,5423,6057,6084,6569,6891,7852,8807,9594,10366,12027,10849,11325,11802,12278,12755
"301","Kerala","TOTAL CRIMES AGAINST WOMEN",5450,5829,5653,6483,6762,7554,7837,8117,8049,9463,11288,10930,11216,11692,12212,12732,13253,13773
"302","Madhya Pradesh","TOTAL CRIMES AGAINST WOMEN",14549,15260,14547,15203,14529,14321,15370,14908,15827,16468,16599,16832,22061,18503,18877,19251,19625,20000
"303","Maharashtra","TOTAL CRIMES AGAINST WOMEN",12524,11322,11273,12169,13370,14452,14924,15862,15048,15737,15728,16353,24895,19999,20728,21457,22186,22915
"304","Manipur","TOTAL CRIMES AGAINST WOMEN",112,170,137,134,140,171,188,211,194,190,247,304,285,286,299,313,326,340
"305","Meghalaya","TOTAL CRIMES AGAINST WOMEN",66,71,69,113,131,176,172,208,237,261,269,255,343,339,361,384,406,428
"306","Mizoram","TOTAL CRIMES AGAINST WOMEN",126,154,147,91,95,125,151,162,150,170,167,199,177,185,191,196,202,207
"307","Nagaland","TOTAL CRIMES AGAINST WOMEN",30,26,25,30,37,43,32,47,46,41,38,51,67,57,59,62,64,67
"308","Odisha","TOTAL CRIMES AGAINST WOMEN",5357,4779,4946,5239,6249,6825,7304,8303,8120,8501,9433,11988,14173,12474,13144,13814,14483,15153
"309","Punjab","TOTAL CRIMES AGAINST WOMEN",2361,2295,2375,1955,1969,2242,2694,2627,2631,2853,2641,3238,4994,3682,3825,3967,4110,4253
"310","Rajasthan","TOTAL CRIMES AGAINST WOMEN",12175,12049,11812,13127,11657,12934,14270,14491,17316,18182,19888,21106,27933,23618,24717,25817,26917,28017
"311","Sikkim","TOTAL CRIMES AGAINST WOMEN",24,28,37,49,62,47,55,48,41,42,55,68,93,74,77,81,84,88
"312","Tamil Nadu","TOTAL CRIMES AGAINST WOMEN",10111,9798,8888,9332,8648,6489,7811,7220,6051,6708,6940,7192,7475,6014,5744,5475,5206,4937
"313","Tripura","TOTAL CRIMES AGAINST WOMEN",438,536,537,670,840,964,1067,1416,1517,1678,1358,1559,1628,1876,1988,2100,2212,2324
"314","Uttar Pradesh","TOTAL CRIMES AGAINST WOMEN",20227,15647,12840,15485,14875,16375,20993,23569,23254,20169,22639,23569,32546,27504,28552,29600,30648,31696
"315","Uttarakhand","TOTAL CRIMES AGAINST WOMEN",749,870,886,988,786,1038,1097,1151,1188,1074,996,1067,1719,1371,1417,1463,1509,1556
"316","West Bengal","TOTAL CRIMES AGAINST WOMEN",6570,6842,8508,11047,11887,12785,16544,20912,23307,26125,29133,30942,29826,34138,36439,38740,41040,43341
"317","A&N Islands","TOTAL CRIMES AGAINST WOMEN",34,27,22,27,22,36,56,80,92,85,51,49,106,92,98,103,109,114
"318","Chandigarh","TOTAL CRIMES AGAINST WOMEN",150,189,159,188,205,224,230,143,150,141,156,241,488,280,290,301,312,322
"319","D&N Haveli","TOTAL CRIMES AGAINST WOMEN",19,15,13,22,24,32,18,28,20,30,18,16,21,23,23,24,24,24
"320","Daman & Diu","TOTAL CRIMES AGAINST WOMEN",10,8,10,7,10,9,11,15,13,14,11,11,24,17,18,18,19,20
"321","Delhi UT","TOTAL CRIMES AGAINST WOMEN",2291,2216,3282,3677,4351,4544,4804,3938,4251,4518,5234,5959,12888,8297,8802,9306,9811,10315
"322","Lakshadweep","TOTAL CRIMES AGAINST WOMEN",0,2,4,1,0,1,5,4,1,1,0,2,3,2,2,2,2,2
"323","Puducherry","TOTAL CRIMES AGAINST WOMEN",119,141,121,110,127,149,179,129,106,115,89,61,86,88,84,80,75,71
"324","TOTAL Crime against Women","TOTAL CRIMES AGAINST WOMEN",143795,143034,140601,154333,155553,164765,185312,195857,203804,213585,228650,244270,309546,274017,285875,297734,309592,321451
